Affix Slot	Name	Item Level	Stat	Handedness	Tags	Weapon Types	Scope
Suffix	of the Brute	1	(8-12) to Strength	Both	attribute, Attributes	Ring, Amulet, Belt, str_armour, str_dex_armour, str_int_armour, str_dex_int_armour, Sword, Mace, Sceptre, Staff, Axe, default	Global
Suffix	of the Wrestler	11	(13-17) to Strength	Both	attribute, Attributes	Ring, Amulet, Belt, str_armour, str_dex_armour, str_int_armour, str_dex_int_armour, Sword, Mace, Sceptre, Staff, Axe, default	Global
Suffix	of the Bear	22	(18-22) to Strength	Both	attribute, Attributes	Ring, Amulet, Belt, str_armour, str_dex_armour, str_int_armour, str_dex_int_armour, Sword, Mace, Sceptre, Staff, Axe, default	Global
Suffix	of the Lion	33	(23-27) to Strength	Both	attribute, Attributes	Ring, Amulet, Belt, str_armour, str_dex_armour, str_int_armour, str_dex_int_armour, Sword, Mace, Sceptre, Staff, Axe, default	Global
Suffix	of the Gorilla	44	(28-32) to Strength	Both	attribute, Attributes	Ring, Amulet, Belt, str_armour, str_dex_armour, str_int_armour, str_dex_int_armour, Sword, Mace, Sceptre, Staff, Axe, default	Global
Suffix	of the Mongoose	1	(8-12) to Dexterity	Both	attribute, Attributes	Ring, Amulet, Gloves, Quiver, dex_armour, dex_int_armour, str_dex_armour, str_dex_int_armour, Bow, Sword, Axe, Claw, Dagger, default	Global
Suffix	of the Lynx	11	(13-17) to Dexterity	Both	attribute, Attributes	Ring, Amulet, Gloves, Quiver, dex_armour, dex_int_armour, str_dex_armour, str_dex_int_armour, Bow, Sword, Axe, Claw, Dagger, default	Global
Suffix	of the Fox	22	(18-22) to Dexterity	Both	attribute, Attributes	Ring, Amulet, Gloves, Quiver, dex_armour, dex_int_armour, str_dex_armour, str_dex_int_armour, Bow, Sword, Axe, Claw, Dagger, default	Global
Suffix	of the Pupil	1	(8-12) to Intelligence	Both	attribute, Attributes	Ring, Amulet, Helmet, int_armour, str_int_armour, dex_int_armour, str_dex_int_armour, Wand, Dagger, Claw, Staff, Sceptre, default	Global
Suffix	of the Student	11	(13-17) to Intelligence	Both	attribute, Attributes	Ring, Amulet, Helmet, int_armour, str_int_armour, dex_int_armour, str_dex_int_armour, Wand, Dagger, Claw, Staff, Sceptre, default	Global
