Name,Defence,Defence 2,Defence 3,Requirements,Implicit 1,Implicit 2,Item Type
Plate Vest,Armour: 19–27,,,"Requires 12 Str",,,Body Armour
Chestplate,Armour: 68–89,,,"Requires Level 6, 25 Str",,,Body Armour
Copper Plate,Armour: 176–221,,,"Requires Level 17, 53 Str",,,Body Armour
War Plate,Armour: 216–248,,,"Requires Level 21, 63 Str",,,Body Armour
Full Plate,Armour: 284–319,,,"Requires Level 28, 81 Str",,,Body Armour
Arena Plate,Armour: 324–389,,,"Requires Level 32, 91 Str",,,Body Armour
Lordly Plate,Armour: 353–417,,,"Requires Level 35, 99 Str",,,Body Armour
Bronze Plate,Armour: 373–429,,,"Requires Level 37, 104 Str",,,Body Armour
Battle Plate,Armour: 412–474,,,"Requires Level 41, 114 Str",,,Body Armour
Sun Plate,Armour: 451–506,,,"Requires Level 45, 124 Str",,,Body Armour
Colosseum Plate,Armour: 491–589,,,"Requires Level 49, 134 Str",,,Body Armour
Majestic Plate,Armour: 530–625,,,"Requires Level 53, 145 Str",,,Body Armour
Golden Plate,Armour: 559–643,,,"Requires Level 56, 152 Str",,,Body Armour
Crusader Plate,Armour: 601–691,,,"Requires Level 59, 160 Str",,,Body Armour
Astral Plate,Armour: 711–782,,,"Requires Level 62, 180 Str",+(8–12)% to all Elemental Resistances,,Body Armour
Gladiator Plate,Armour: 738–848,,,"Requires Level 65, 177 Str","+(20-25)% increased Physical damage","+(5-10)% change to apply bleed on hit",Body Armour
Glorious Plate,Armour: 776–892,,,"Requires Level 68, 191 Str",,,Body Armour
Titan Plate,Armour: 877–1009,,,"Requires Level 73, 222 Str",,,Body Armour
Legion Plate,Armour: 1018–1171,,,"Requires Level 78, 254 Str",,,Body Armour
Royal Plate,Armour: 1183–1360,,,"Requires Level 84, 293 Str",,,Body Armour
Kaom's Plate,Armour: 23,,,"Requires 14 Str",,,Body Armour
Shabby Jerkin,Evasion Rating: 29–41,,,"Requires Level 2, 14 Dex",,,Body Armour
Strapped Leather,Evasion Rating: 98–127,,,"Requires Level 9, 32 Dex",,,Body Armour
Buckskin Tunic,Evasion Rating: 176–221,,,"Requires Level 17, 53 Dex",,,Body Armour
Wild Leather,Evasion Rating: 255–306,,,"Requires Level 25, 73 Dex",,,Body Armour
Full Leather,Evasion Rating: 284–327,,,"Requires Level 28, 81 Dex",,,Body Armour
Sun Leather,Evasion Rating: 324–382,,,"Requires Level 32, 91 Dex",,,Body Armour
Thief's Garb,Evasion Rating: 353–396,,,"Requires Level 35, 99 Dex",,,Body Armour
Eelskin Tunic,Evasion Rating: 373–429,,,"Requires Level 37, 104 Dex",,,Body Armour
Frontier Leather,Evasion Rating: 412–495,,,"Requires Level 41, 114 Dex",,,Body Armour
Glorious Leather,Evasion Rating: 451–519,,,"Requires Level 45, 124 Dex",,,Body Armour
Coronal Leather,Evasion Rating: 491–579,,,"Requires Level 49, 134 Dex",,,Body Armour
Cutthroat's Garb,Evasion Rating: 530–594,,,"Requires Level 53, 145 Dex",,,Body Armour
Sharkskin Tunic,Evasion Rating: 559–643,,,"Requires Level 56, 152 Dex",,,Body Armour
Destiny Leather,Evasion Rating: 601–721,,,"Requires Level 59, 160 Dex",,,Body Armour
Exquisite Leather,Evasion Rating: 704–810,,,"Requires Level 62, 170 Dex",,,Body Armour
Zodiac Leather,Evasion Rating: 854–982,,,"Requires Level 65, 197 Dex",,,Body Armour
Assassin's Garb,Evasion Rating: 737–811,,,"Requires Level 68, 183 Dex",,,Body Armour
Supreme Leather,Evasion Rating: 894–1028,,,"Requires Level 73, 222 Dex",,,Body Armour
Astral Leather,Evasion Rating: 1037–1193,,,"Requires Level 78, 254 Dex",,,Body Armour
Syndicate's Garb,Evasion Rating: 1205–1386,,,"Requires Level 84, 293 Dex",,,Body Armour
Simple Robe,Energy Shield: 14–20,,,"Requires Level 3, 17 Int",,,Body Armour
Silken Vest,Energy Shield: 30–38,,,"Requires Level 11, 37 Int",,,Body Armour
Scholar's Robe,Energy Shield: 43–53,,,"Requires Level 18, 55 Int",,,Body Armour
Silken Garb,Energy Shield: 56–64,,,"Requires Level 25, 73 Int",,,Body Armour
Mage's Vestment,Energy Shield: 62–69,,,"Requires Level 28, 81 Int",,,Body Armour
Silk Robe,Energy Shield: 69–80,,,"Requires Level 32, 91 Int",,,Body Armour
Cabalist Regalia,Energy Shield: 75–88,,,"Requires Level 35, 99 Int",,,Body Armour
Sage's Robe,Energy Shield: 79–90,,,"Requires Level 37, 104 Int",,,Body Armour
Silken Wrap,Energy Shield: 86–104,,,"Requires Level 41, 114 Int",,,Body Armour
Conjurer's Vestment,Energy Shield: 94–105,,,"Requires Level 45, 124 Int",,,Body Armour
Spidersilk Robe,Energy Shield: 101–117,,,"Requires Level 49, 134 Int",,,Body Armour
Destroyer Regalia,Energy Shield: 109–129,,,"Requires Level 53, 145 Int",,,Body Armour
Savant's Robe,Energy Shield: 115–132,,,"Requires Level 56, 152 Int",,,Body Armour
Necromancer Silks,Energy Shield: 123–147,,,"Requires Level 59, 160 Int",,,Body Armour
Occultist's Vestment,Energy Shield: 137–151,,,"Requires Level 62, 180 Int",(3–10)% increased Spell Damage,,Body Armour
