Splintered Tower Shield,Chance to Block: 24%,Armour: 9–12,,,"Requires 11 Str",,Shield
Corroded Tower Shield,Chance to Block: 23%,Armour: 36–47,,,"Requires Level 5, 20 Str",+(10–20) to maximum life,Shield
Rawhide Tower Shield,Chance to Block: 26%,Armour: 53–66,,,"Requires Level 11, 33 Str",+(10–20) to maximum life,Shield
Cedar Tower Shield,Chance to Block: 25%,Armour: 94–113,,,"Requires Level 17, 47 Str",+(20–30) to maximum life,Shield
Copper Tower Shield,Chance to Block: 24%,Armour: 151–173,,,"Requires Level 24, 62 Str",+(30–40) to maximum life,Shield
Reinforced Tower Shield,Chance to Block: 23%,Armour: 237–260,,,"Requires Level 30, 76 Str",+(10–20) to maximum life,Shield
Painted Tower Shield,Chance to Block: 25%,Armour: 188–216,,,"Requires Level 35, 87 Str",+(20–30) to maximum life,Shield
Buckskin Tower Shield,Chance to Block: 26%,Armour: 177–209,,,"Requires Level 39, 96 Str",+(10–20) to maximum life,Shield
Mahogany Tower Shield,Chance to Block: 25%,Armour: 230–265,,,"Requires Level 43, 105 Str",+(20–30) to maximum life,Shield
Bronze Tower Shield,Chance to Block: 24%,Armour: 290–324,,,"Requires Level 47, 114 Str",+(30–40) to maximum life,Shield
Girded Tower Shield,Chance to Block: 23%,Armour: 397–437,,,"Requires Level 51, 123 Str",+(10–20) to maximum life,Shield
Crested Tower Shield,Chance to Block: 25%,Armour: 293–337,,,"Requires Level 55, 132 Str",+(20–30) to maximum life,Shield
Shagreen Tower Shield,Chance to Block: 26%,Armour: 261–308,,,"Requires Level 58, 139 Str",+(10–20) to maximum life,Shield
Ebony Tower Shield,Chance to Block: 25%,Armour: 357–411,,,"Requires Level 61, 159 Str",+(20–30) to maximum life,Shield
Ezomyte Tower Shield,Chance to Block: 24%,Armour: 412–474,,,"Requires Level 64, 159 Str",+(30–40) to maximum life,Shield
Colossal Tower Shield,Chance to Block: 23%,Armour: 522–601,,,"Requires Level 67, 159 Str",+(10–20) to maximum life,Shield
Pinnacle Tower Shield,Chance to Block: 25%,Armour: 467–537,,,"Requires Level 70, 159 Str",+(20–30) to maximum life,Shield
Exothermic Tower Shield,Chance to Block: 25%,Armour: 87–100,,,"Requires Level 30, 76 Str","Scorch Enemies when you Block their Damage",Shield
Magmatic Tower Shield,Chance to Block: 27%,Armour: 144–165,,,"Requires Level 50, 121 Str","Scorch Enemies when you Block their Damage",Shield
